# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 52269001
# NOM_USUEL= LANGRES
# LATITUDE (°) = 47.844
# LONGITUDE(°)= 5.338
# ALTITUDE (m) = 466
# NUM_SERIE= MTN352269001
# Amplitude minimale détectable de la série = 0.2
# Période homogénéisée : 195901 202212
# Date(s) de rupture(s) d'homogénéité : 199012 199612
#     Periode homogénéisée  195901 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;-1.8;1
195902;-0.4;1
195903;4.2;1
195904;5.1;1
195905;8.6;1
195906;11.6;1
195907;15.1;1
195908;13;1
195909;11.6;1
195910;6.6;1
195911;1.4;1
195912;0.7;1
196001;-2.1;1
196002;0.2;1
196003;3.5;1
196004;3.8;1
196005;9.1;1
196006;11.9;1
196007;10.8;1
196008;12.2;1
196009;9;1
196010;6.4;1
196011;3.7;1
196012;-1.7;1
196101;-1.8;1
196102;2.9;1
196103;3.5;1
196104;7.4;1
196105;6.2;1
196106;11;1
196107;11.3;1
196108;12.3;1
196109;13.8;1
196110;7.3;1
196111;1;1
196112;-1.1;1
196201;0.2;1
196202;-2.1;1
196203;-1.9;1
196204;4.2;1
196205;5.9;1
196206;9.4;1
196207;11.4;1
196208;13.2;1
196209;9.6;1
196210;6.3;1
196211;0.2;1
196212;-5.3;1
196301;-7.6;1
196302;-6.2;1
196303;1.3;1
196304;5.3;1
196305;7.1;1
196306;10.7;1
196307;12.7;1
196308;11.2;1
196309;10.3;1
196310;5.8;1
196311;4.7;1
196312;-5;1
196401;-4.5;1
196402;0.7;1
196403;0.5;1
196404;4.8;1
196405;9;1
196406;11.2;1
196407;13.9;1
196408;12.4;1
196409;10.6;1
196410;4.4;1
196411;2.6;1
196412;-2.6;1
196501;-0.6;1
196502;-4.2;1
196503;1.6;1
196504;3.9;1
196505;7.5;1
196506;10.8;1
196507;11;1
196508;11.6;1
196509;8.3;1
196510;5.8;1
196511;0.8;1
196512;0.6;1
196601;-3.9;1
196602;3.4;1
196603;0.7;1
196604;6.1;1
196605;8.1;1
196606;11.7;1
196607;11;1
196608;11;1
196609;10.6;1
196610;9;1
196611;-0.4;1
196612;-0.2;1
196701;-1.7;1
196702;0.3;1
196703;2.9;1
196704;2.8;1
196705;7.1;1
196706;9.8;1
196707;14.2;1
196708;12.1;1
196709;9.8;1
196710;8.4;1
196711;1.5;1
196712;-3.2;1
196801;-3;1
196802;-0.5;1
196803;1.5;1
196804;4.3;1
196805;6.6;1
196806;10.2;1
196807;11.9;1
196808;11.8;1
196809;9.8;1
196810;8.5;1
196811;1.5;1
196812;-2.4;1
196901;0.1;1
196902;-3.6;1
196903;1.3;1
196904;3.8;1
196905;7.9;1
196906;9;1
196907;13.5;1
196908;12.3;1
196909;10.7;1
196910;7.4;1
196911;2;1
196912;-5.4;1
197001;-1.4;1
197002;-1.6;1
197003;-0.8;1
197004;2.2;1
197005;7.4;1
197006;12.3;1
197007;11.9;1
197008;12.9;1
197009;10.7;1
197010;5.7;1
197011;3.8;1
197012;-2.2;1
197101;-2;1
197102;-1.4;1
197103;-2;1
197104;5.9;1
197105;9.5;1
197106;9.5;1
197107;14.1;1
197108;12.8;1
197109;8.9;1
197110;6.3;1
197111;0.5;1
197112;-0.9;1
197201;-1.8;1
197202;1;1
197203;3.7;1
197204;3.6;1
197205;6.8;1
197206;8.7;1
197207;12.3;1
197208;11.4;1
197209;6.9;1
197210;4.6;1
197211;1.8;1
197212;-1.7;1
197301;-2.9;1
197302;-1.8;1
197303;0.7;1
197304;2;1
197305;8.3;1
197306;11.1;1
197307;12.5;1
197308;14.7;1
197309;11;1
197310;4.9;1
197311;1.4;1
197312;-2;1
197401;1.7;1
197402;0.6;1
197403;3.3;1
197404;4.3;1
197405;6.9;1
197406;9.6;1
197407;11.7;1
197408;12.9;1
197409;9.2;1
197410;2.6;1
197411;2.3;1
197412;2.5;1
197501;1.7;1
197502;-0.1;1
197503;1.2;1
197504;3.9;1
197505;6.9;1
197506;10.2;1
197507;13;1
197508;14.4;1
197509;11.4;1
197510;4.7;1
197511;1.7;1
197512;-2.9;1
197601;-1.1;1
197602;-0.5;1
197603;-0.2;1
197604;3.7;1
197605;8.7;1
197606;13.6;1
197607;14.5;1
197608;12.6;1
197609;9.4;1
197610;7.5;1
197611;2.1;1
197612;-2.6;1
197701;-0.4;1
197702;1.9;1
197703;3.3;1
197704;2.3;1
197705;7.3;1
197706;9.9;1
197707;12.2;1
197708;11.6;1
197709;8.6;1
197710;7.9;1
197711;2;1
197712;0.7;1
197801;-1.4;1
197802;-1.2;1
197803;2.4;1
197804;2.8;1
197805;7.3;1
197806;9.6;1
197807;11.8;1
197808;10.8;1
197809;9.3;1
197810;6;1
197811;0.2;1
197812;0.2;1
197901;-5.6;1
197902;-1;1
197903;2.2;1
197904;3;1
197905;6.9;1
197906;11.3;1
197907;12.6;1
197908;11.2;1
197909;10.3;1
197910;7.9;1
197911;1.6;1
197912;1.2;1
198001;-2.9;1
198002;1.7;1
198003;1.7;1
198004;3.2;1
198005;6.6;1
198006;9.9;1
198007;11.4;1
