# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 80182003
# NOM_USUEL= CAYEUX-SUR-MER
# LATITUDE (°) = 50.187
# LONGITUDE(°)= 1.521
# ALTITUDE (m) = 4
# NUM_SERIE= MTN080182003
# Amplitude minimale détectable de la série = 0.17
# Période homogénéisée : 195701 202212
# Date(s) de rupture(s) d'homogénéité : 197809 198112 200512
#     Periode homogénéisée  195701 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196404;5.6;1
196405;9.6;1
196406;10.8;1
196407;12.3;1
196408;12.1;1
196409;10.3;1
196410;5;1
196411;5.4;1
196412;2.3;1
196501;1.6;1
196502;-0.7;1
196503;2.2;1
196504;4.8;1
196505;7.7;1
196506;9.7;1
196507;11.7;1
196508;11.7;1
196509;9;1
196510;6;1
196511;2.9;1
196512;3.7;1
196601;-0.2;1
196602;5.7;1
196603;3.3;1
196604;6.1;1
196605;8.4;1
196606;13.1;1
196607;12.7;1
196608;10.7;1
196609;9.1;1
196610;9;1
196611;3.5;1
196612;3.2;1
196701;1.8;1
196702;2.8;1
196703;4;1
196704;3.3;1
196705;7.7;1
196706;9.8;1
196707;12.3;1
196708;12.3;1
196709;11.1;1
196710;9;1
196711;2.6;1
196712;0.3;1
196801;1.2;1
196802;0.8;1
196803;3.2;1
196804;4.3;1
196805;6.5;1
196806;10.6;1
196807;11.5;1
196808;13.8;1
196809;11.7;1
196810;11.2;1
196811;4;1
196812;-0.8;1
196901;4.1;1
196902;-0.8;1
196903;2.3;1
196904;3.4;1
196905;8.2;1
196906;10.1;1
196907;12.9;1
196908;13;1
196909;11.3;1
196910;8.7;1
196911;4.7;1
196912;-0.1;1
197001;2.4;1
197002;1.6;1
197003;1.8;1
197004;4.1;1
197005;8.4;1
197006;11.7;1
197007;11.9;1
197008;12.9;1
197009;12.1;1
197010;8.7;1
197011;6.8;1
197012;0.9;1
197101;1.6;1
197102;1.9;1
197103;0.7;1
197104;4.8;1
197105;8.4;1
197106;9.6;1
197107;12;1
197108;13.6;1
197109;9;1
197110;6.3;1
197111;3.4;1
197112;3.2;1
197201;1.1;1
197202;2.3;1
197203;2.8;1
197204;5.7;1
197205;7.8;1
197206;9.1;1
197207;12.4;1
197208;11.2;1
197209;8;1
197210;6.6;1
197211;5;1
197212;2.9;1
197301;1.6;1
197302;1.3;1
197303;-0.4;1
197304;3.5;1
197305;8.2;1
197306;10.2;1
197307;12.4;1
197308;12.7;1
197309;11.6;1
197310;6.1;1
197311;3.2;1
197312;2.3;1
197401;5;1
197402;2.6;1
197403;2.9;1
197404;3.8;1
197405;6.4;1
197406;10;1
197407;12;1
197408;11.3;1
197409;10.2;1
197410;5.3;1
197411;5.5;1
197412;6.4;1
197501;5.6;1
197502;1.7;1
197503;2.7;1
197504;4.6;1
197505;7;1
197506;8.8;1
197507;13.1;1
197508;13.6;1
197509;11.7;1
197510;6;1
197511;3.8;1
197512;1.2;1
197601;4.1;1
197602;1.8;1
197603;0.9;1
197604;3;1
197605;8.7;1
197606;11.9;1
197607;13.7;1
197608;11.4;1
197609;11.4;1
197610;10;1
197611;5;1
197612;0.7;1
197701;1.4;1
197702;3.9;1
197703;4.3;1
197704;4;1
197705;7.9;1
197706;10.1;1
197707;12.6;1
197708;10.7;1
197709;8.7;1
197710;8.7;1
197711;5.5;1
197712;3.8;1
197801;1.7;1
197802;0.6;1
197803;3.7;1
197804;3.4;1
197805;8.2;1
197806;9.9;1
197807;11.6;1
197808;10.6;1
197809;9.7;1
197810;8.6;1
197811;4.3;1
197812;2.5;1
197901;-3.2;1
197902;0.3;1
197903;3.4;1
197904;5;1
197905;7.1;1
197906;11;1
197907;11.9;1
197908;11.7;1
197909;9.6;1
197910;8.5;1
197911;3.8;1
197912;5.1;1
198001;-1.2;1
198002;3.7;1
198003;3.2;1
198004;3.4;1
198005;6.7;1
198006;10.2;1
198007;11.8;1
198008;12.6;1
198009;11.9;1
198010;6.3;1
198011;3;1
198012;2.5;1
198101;2.1;1
198102;-0.2;1
198103;6.2;1
198104;4.9;1
198105;8.1;1
198106;9.7;1
198107;12.6;1
198108;11.4;1
198109;10.7;1
198110;7.7;1
198111;5.8;1
198112;1.6;1
198201;0.3;1
198202;1.7;1
198203;2.7;1
198204;3.4;1
198205;7.6;1
198206;12.5;1
198207;12.9;1
198208;13.3;1
198209;11.4;1
198210;8.4;1
198211;6.4;1
198212;2.7;1
198301;5.2;1
198302;-0.4;1
198303;3.1;1
198304;4.9;1
198305;7;1
198306;11.4;1
198307;14.6;1
198308;12.9;1
198309;11.4;1
198310;7.9;1
198311;4.2;1
198312;2.2;1
198401;2.7;1
198402;1.7;1
198403;0.8;1
198404;2.2;1
198405;6.5;1
198406;9.3;1
198407;10.5;1
198408;12.8;1
198409;10.9;1
198410;9;1
198411;7.1;1
198412;2.7;1
198501;-5.2;1
198502;-2;1
198503;1.8;1
198504;5.1;1
198505;8.4;1
198506;10.3;1
198507;12.3;1
198508;12;1
198509;10.5;1
198510;7.7;1
198511;1.4;1
198512;5;1
198601;1.7;1
198602;-4.8;1
198603;1.8;1
198604;3.4;1
198605;7.3;1
198606;11.3;1
198607;12.9;1
198608;11.1;1
198609;7.2;1
198610;9.6;1
198611;5.3;1
198612;4.1;1
198701;-2.9;1
198702;1.2;1
198703;1;1
198704;6.9;1
198705;5.8;1
198706;11;1
198707;12.8;1
198708;12.7;1
198709;12.3;1
198710;8.7;1
198711;4.6;1
198712;3.4;1
198801;4.9;1
198802;2.1;1
198803;4.7;1
198804;4.3;1
198805;8.9;1
198806;9.9;1
198807;12.5;1
198808;12.3;1
198809;11.3;1
198810;8.7;1
198811;2.4;1
198812;6.1;1
198901;2.6;1
198902;2.8;1
198903;5.7;1
198904;4.3;1
198905;8.3;1
198906;9.3;1
198907;13.1;1
198908;11.6;1
198909;11.7;1
198910;9.8;1
198911;2.8;1
198912;2.4;1
199001;4.3;1
199002;5.8;1
199003;4.5;1
199004;4;1
199005;7.4;1
199006;10.1;1
199007;11.5;1
199008;13.2;1
199009;9.7;1
199010;9.8;1
199011;5;1
199012;2.1;1
199101;2.2;1
199102;-2;1
199103;5.4;1
199104;4.3;1
199105;6.5;1
199106;10;1
199107;14;1
199108;12.8;1
199109;12.2;1
199110;7.7;1
199111;4.6;1
199112;1.7;1
199201;0.7;1
199202;2.3;1
199203;5;1
199204;5.3;1
199205;8.7;1
199206;10.9;1
199207;13.5;1
199208;14.8;1
199209;11.6;1
199210;6.4;1
199211;6.8;1
199212;2.5;1
199301;4;1
199302;1.9;1
199303;2.3;1
199304;6.9;1
199305;10.1;1
199306;11.5;1
199307;12.7;1
199308;10.9;1
199309;10;1
199310;7.1;1
199311;2.1;1
199312;5.1;1
199401;4.4;1
199402;1.6;1
199403;5.3;1
199404;4.8;1
199405;8.7;1
199406;10.4;1
199407;15;1
199408;14.3;1
199409;11.6;1
199410;7.1;1
199411;10;1
199412;4.7;1
199501;2.9;1
199502;5.9;1
199503;3.3;1
199504;5.6;1
199505;7.2;1
199506;10.7;1
199507;14.9;1
199508;14.9;1
199509;10.9;1
199510;10.5;1
199511;4.9;1
199512;1;1
199601;1.9;1
199602;0.2;1
199603;1.9;1
199604;3.5;1
199605;6.1;1
199606;10.4;1
199607;11.7;1
199608;12.7;1
199609;8.8;1
199610;8.8;1
199611;4;1
199612;0.3;1
199701;-1.5;1
199702;4.8;1
199703;5.1;1
199704;2.1;1
199705;8.2;1
199706;12.2;1
199707;12.1;1
199708;16.3;1
199709;9.1;1
199710;6.9;1
199711;6.1;1
199712;3.7;1
199801;2.8;1
199802;1.8;1
199803;5.3;1
199804;6.4;1
199805;9.3;1
199806;12.1;1
199807;13.1;1
199808;11.3;1
199809;12.8;1
199810;8.8;1
199811;3.3;1
199812;4;1
199901;4.8;1
199902;2.8;1
199903;4.3;1
199904;6.6;1
199905;10.2;1
199906;10.6;1
199907;13.9;1
199908;13.6;1
199909;13.6;1
199910;8.8;1
199911;4.1;1
199912;3.4;1
200001;2.3;1
200002;4.3;1
200003;4;1
200004;5.7;1
200005;10.7;1
200006;11.8;1
200007;12.4;1
200008;13.3;1
200009;12.8;1
200010;9.6;1
200011;6.5;1
200012;5.1;1
200101;2.4;1
200102;3.1;1
200103;5;1
200104;5.9;1
200105;9.3;1
200106;10.5;1
200107;14;1
200108;14.8;1
200109;10.4;1
200110;12.3;1
200111;3.7;1
200112;1.3;1
200201;3.6;1
200202;5.5;1
200203;4.5;1
200204;5.6;1
200205;9.4;1
200206;11.7;1
200207;12.8;1
200208;13.9;1
200209;10;1
200210;8.3;1
200211;7;1
200212;5.3;1
200301;1.5;1
200302;1;1
200303;4.7;1
200304;5.2;1
200305;8.8;1
200306;13.1;1
200307;14.1;1
200308;14.8;1
200309;9.1;1
200310;5.7;1
200311;6.4;1
200312;3.2;1
200401;3.5;1
200402;3.2;1
200403;2.9;1
200404;5.2;1
200405;6.7;1
200406;11.7;1
200407;12.8;1
200408;15.3;1
200409;12.5;1
200410;9.5;1
200411;5.8;1
200412;2.4;1
200501;3.8;1
200502;1.3;1
200503;3.4;1
200504;6.1;1
200505;8.7;1
200506;11.3;1
200507;14.1;1
200508;11.4;1
200509;11.8;1
200510;12.2;1
200511;4.5;1
200512;1.1;1
200601;1.3;1
200602;1.5;1
200603;2.3;1
200604;5.9;1
200605;9.2;1
200606;10;1
200607;14.4;1
200608;14.1;1
200609;13.7;1
200610;11.5;1
200611;6.1;1
200612;4.4;1
200701;6.3;1
200702;4.4;1
200703;4;1
200704;5.3;1
200705;9.6;1
200706;13.2;1
200707;13.6;1
200708;12.9;1
200709;10.8;1
200710;7.4;1
200711;5.8;1
200712;2.4;1
200801;5.2;1
200802;2.3;1
200803;5.1;1
200804;5;1
200805;10.2;1
200806;12.1;1
200807;13.5;1
200808;14.6;1
200809;9.3;1
200810;8;1
200811;6.7;1
200812;1.8;1
200901;-1.1;1
200902;1.7;1
200903;3.7;1
200904;6.3;1
200905;8.8;1
200906;11.3;1
200907;13.9;1
200908;13.7;1
200909;11.3;1
200910;9.4;1
200911;8.1;1
200912;1.9;1
201001;-0.6;1
201002;1.4;1
201003;3.8;1
201004;4.4;1
201005;6.2;1
201006;11;1
201007;14;1
201008;14.1;1
201009;10.9;1
201010;7.8;1
201011;4.3;1
201012;-1.6;1
201101;2.5;1
201102;3.3;1
201103;3.3;1
201104;7.6;1
201105;9.2;1
201106;12;1
201107;12.4;1
201108;13.8;1
201109;13;1
201110;10.4;1
201111;7.2;1
201112;5.5;1
201201;5.2;1
201202;-1.6;1
201203;4.1;1
201204;4.9;1
201205;8.7;1
201206;11.6;1
201207;12.9;1
201208;13.9;1
201209;10.5;1
201210;8.9;1
201211;5.6;1
201212;4;1
201301;1.8;1
201302;0.8;1
201303;1.3;1
201304;4;1
201305;7.6;1
201306;11.1;1
201307;13.5;1
201308;13.6;1
201309;11.6;1
201310;10.8;1
201311;5.2;1
201312;4.5;1
201401;4.6;1
201402;4.9;1
201403;4.6;1
201404;6.9;1
201405;8.8;1
201406;11.1;1
201407;13.9;1
201408;13.2;1
201409;11.6;1
201410;10.9;1
201411;6.9;1
201412;4.2;1
201501;2.4;1
201502;1.8;1
201503;4.2;1
201504;4.9;1
201505;9;1
201506;11;1
201507;13.9;1
201508;14.3;1
201509;10.2;1
201510;7.9;1
201511;9.2;1
201512;8.6;1
201601;4;1
201602;3.6;1
201603;3.4;1
201604;5.6;1
201605;9.6;1
201606;13;1
201607;14.8;1
201608;14.4;1
201609;13.6;1
201610;7.7;1
201611;5.1;1
201612;2.1;1
201701;0.4;1
201702;4.1;1
201703;6.4;1
201704;4.8;1
201705;10;1
201706;13.7;1
201707;14.5;1
201708;13.7;1
201709;11.6;1
201710;11.2;1
201711;5.8;1
201712;4;1
201801;4.7;1
201802;0.2;1
201803;3;1
201804;8;1
201805;9.2;1
201806;11.8;1
201807;14.4;1
201808;14.7;1
201809;10.5;1
201810;8.5;1
201811;5;1
201812;5;1
201901;2.8;1
201902;2.7;1
201903;6.2;1
201904;4.6;1
201905;7.7;1
201906;12.1;1
201907;12.7;1
201908;13.7;1
201909;11.5;1
201910;10.4;1
201911;5.2;1
201912;4.5;1
202001;4.5;1
202002;5.8;1
202003;4.3;1
202004;5.7;1
202005;8.1;1
202006;11.8;1
202007;13.2;1
202008;15.9;1
202009;11.9;1
202010;9.7;1
202011;6.4;1
202012;5;1
202101;2.3;1
202102;3;1
202103;3.2;1
202104;2.2;1
202105;7.9;1
202106;12.8;1
202107;14.7;1
202108;13.9;1
202109;12;1
202110;8.7;1
202111;5.8;1
202112;5.6;1
202201;2.8;1
202202;5.5;1
202203;4.3;1
202204;5.3;1
202205;9.4;1
202206;11.7;1
202207;13.2;1
202208;13.8;1
202209;11.9;1
202210;11.2;1
202211;7.8;1
202212;1.9;1
